Week,Plate,Treatment,Same?,Temp,Genus,CrabID,Weight,Time,Well,528/20,XBlank
1,1,Baseline,NA,14,H,1,1.32,0,A1,811,b1
1,1,Baseline,NA,14,H,1,1.32,10,B1,1271,b1
1,1,Baseline,NA,14,H,1,1.32,20,C1,1799,b1
1,1,Baseline,NA,14,H,1,1.32,30,D1,1990,b1
1,1,Baseline,NA,14,H,1,1.32,40,E1,2677,b1
1,1,Baseline,NA,14,H,1,1.32,50,F1,2874,b1
1,1,Baseline,NA,14,H,1,1.32,60,G1,3524,b1
1,1,Baseline,NA,14,H,2,1.38,0,A2,885,b1
1,1,Baseline,NA,14,H,2,1.38,10,B2,1460,b1
1,1,Baseline,NA,14,H,2,1.38,20,C2,2033,b1
1,1,Baseline,NA,14,H,2,1.38,30,D2,2595,b1
1,1,Baseline,NA,14,H,2,1.38,40,E2,3269,b1
1,1,Baseline,NA,14,H,2,1.38,50,F2,3672,b1
1,1,Baseline,NA,14,H,2,1.38,60,G2,4749,b1
1,1,Baseline,NA,14,H,3,1.82,0,A3,835,b1
1,1,Baseline,NA,14,H,3,1.82,10,B3,3136,b1
1,1,Baseline,NA,14,H,3,1.82,20,C3,5093,b1
1,1,Baseline,NA,14,H,3,1.82,30,D3,6729,b1
1,1,Baseline,NA,14,H,3,1.82,40,E3,8527,b1
1,1,Baseline,NA,14,H,3,1.82,50,F3,9168,b1
1,1,Baseline,NA,14,H,3,1.82,60,G3,12479,b1
1,1,Baseline,NA,14,H,4,1.06,0,A4,918,b1
1,1,Baseline,NA,14,H,4,1.06,10,B4,1371,b1
1,1,Baseline,NA,14,H,4,1.06,20,C4,2078,b1
1,1,Baseline,NA,14,H,4,1.06,30,D4,2697,b1
1,1,Baseline,NA,14,H,4,1.06,40,E4,3117,b1
1,1,Baseline,NA,14,H,4,1.06,50,F4,3603,b1
1,1,Baseline,NA,14,H,4,1.06,60,G4,4383,b1
1,1,Baseline,NA,14,H,5,2.14,0,A5,902,b1
1,1,Baseline,NA,14,H,5,2.14,10,B5,1615,b1
1,1,Baseline,NA,14,H,5,2.14,20,C5,2778,b1
1,1,Baseline,NA,14,H,5,2.14,30,D5,3780,b1
1,1,Baseline,NA,14,H,5,2.14,40,E5,4920,b1
1,1,Baseline,NA,14,H,5,2.14,50,F5,5729,b1
1,1,Baseline,NA,14,H,5,2.14,60,G5,6857,b1
