Species,Crab ID,Well Plate Number,Temp,weight,Pre/Post,0,10,20,30,40,50,60,Percent Change,Slope,,,,,,,
Hemigrapsus,Red,2,14 C,1.18,Pre,1,682,1144,2086,2970,3973,4594,573.6070381,9.543450635,,,,,,,
Hemigrapsus,4,4,14 C,1.06,Pre,12,748,659,898,1329,1882,2189,192.6470588,3.010784313,,,,,,,
Hemigrapsus,6,6,14 C,1.67,Pre,-125,481,1028,1389,2084,2678,3445,616.2162162,12.3536036,,,,,,,
Hemigrapsus,19,9,14 C,1.86,Pre,-94,696,1264,2605,3749,5274,6721,865.6609195,15.99434866,,,,,,,
Hemigrapsus,10,10,14 C,1.3,Pre,34,281,1591,1373,1955,2831,3694,1214.590747,19.67651245,,,,,,,
Hemigrapsus,1,1,24 C,1.32,Pre,48,544,1156,1984,2946,3825,5275,869.6691176,13.69448529,,,,,,,
Hemigrapsus,3,3,24 C,1.82,Pre,82,1548,3785,5817,7859,10164,13777,789.9870801,11.79978467,,,,,,,
Hemigrapsus,5,5,24 C,2.14,Pre,60,840,2076,3093,4397,5257,7305,769.6428571,11.82738095,,,,,,,
Hemigrapsus,7,7,24 C,1.57,Pre,98,928,1805,2990,3879,5480,7102,665.3017241,9.455028735,,,,,,,
Hemigrapsus,8,8,24 C,1.06,Pre,88,748,1317,2326,3249,4311,5201,595.3208556,8.455347593,,,,,,,
Carcinus,12,1,14 C,208.5,Pre,92,717,577,1290,2259,2476,2787,288.7029289,3.278382148,,,,,,,
Carcinus,11,2,24 C,194.8,Pre,-156,-66,188,328,725,1412,1423,2256.060606,40.2010101,,,,,,,
Hemigrapsus,Red,2,14 C,1.18,Post,-19,107,1114,1666,2539,3914,4781,4368.224299,73.12040498,,,,,,,
Hemigrapsus,4,4,14 C,1.06,Post,-25,113,284,1057,1413,2015,2240,1882.300885,31.78834808,,,,,,,
Hemigrapsus,6,6,14 C,1.67,Post,251,436,1428,2567,3843,3721,5447,1149.311927,14.97186545,,,,,,,
Hemigrapsus,19,9,14 C,1.86,Post,345,1802,3879,6253,8214,7518,9765,441.8978912,1.614964853,,,,,,,
Hemigrapsus,10,10,14 C,1.3,Post,281,806,1986,2877,3980,4200,6543,711.7866005,7.179776675,,,,,,,
Hemigrapsus,1,1,24 C,1.32,Post,-760,-288,1048,1164,1924,2640,2743,1052.430556,30.20717593,,,,,,,
Hemigrapsus,3,3,24 C,1.82,Post,-476,899,3089,4029,6147,8964,9080,910.0111235,23.10018539,,,,,,,
Hemigrapsus,5,5,24 C,2.14,Post,-497,280,1644,2216,3231,4923,5056,1705.714286,36.71190477,,,,,,,
Hemigrapsus,7,7,24 C,1.57,Post,-121,745,3221,4027,5648,6788,7769,942.8187919,17.7303132,,,,,,,
Hemigrapsus,8,8,24 C,1.06,Post,-73,710,2498,3172,4255,3957,5729,706.9014085,12.99835681,,,,,,,
Carcinus,12,7,14 C,208.5,Post,-88,428,90,694,1141,1472,1818,324.7663551,6.879439252,,,,,,,
Carcinus,11,8,24 C,194.8,Post,10,860,1026,1557,1485,1596,2467,186.8604651,2.947674418,,,,,,,
Hemigrapsus,Red,2,14 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,4,4,14 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,6,6,14 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,19,9,14 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,10,10,14 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,1,1,24 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,3,3,24 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,5,5,24 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,7,7,24 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,8,8,24 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Carcinus,12,1,14 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Carcinus,11,2,24 C,,Pre,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,Red,2,14 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,4,4,14 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,6,6,14 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,19,9,14 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,10,10,14 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,1,1,24 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,3,3,24 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,5,5,24 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,7,7,24 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Hemigrapsus,8,8,24 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Carcinus,12,7,14 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Carcinus,11,8,24 C,,Post,,,,,,,,186.8604651,2.947674418,0,0,0,0,0,0,0
Blank H,14,Pre,,,,,,,,,,,,,,,,,,,
Blank H,24,Pre,,,,,,,,,,,,,,,,,,,
Blank C,14,Pre,,,,,,,,,,,,,,,,,,,
Blank C,24,Pre,,,,,,,,,,,,,,,,,,,
Blank H,14,Post,,,,,,,,,,,,,,,,,,,
Blank H,24,Post,,,,,,,,,,,,,,,,,,,
Blank C,14,Post,,,,,,,,,,,,,,,,,,,
Blank C,24,Post,,,,,,,,,,,,,,,,,,,
