Species,Crab ID,Well Plate Number,Temp,weight,Pre/Post,0,10,20,30,40,50,60,Percent Change,Slope,,,,,,,,Weight Slope
Hemigrapsus,Red,2,14 C,1.18,Pre,1,682,1144,2086,2970,3973,4594,573.6070381,9.543450635,0.847457627,577.9661017,969.4915254,1767.79661,2516.949153,3366.949153,3893.220339,64.87288136
Hemigrapsus,4,4,14 C,1.06,Pre,12,748,659,898,1329,1882,2189,192.6470588,3.010784313,11.32075472,705.6603774,621.6981132,847.1698113,1253.773585,1775.471698,2065.09434,34.22955975
Hemigrapsus,6,6,14 C,1.67,Pre,-125,481,1028,1389,2084,2678,3445,616.2162162,12.3536036,-74.8502994,288.0239521,615.5688623,831.7365269,1247.904192,1603.592814,2062.874251,35.62874251
Hemigrapsus,19,9,14 C,1.86,Pre,-94,696,1264,2605,3749,5274,6721,865.6609195,15.99434866,-50.53763441,374.1935484,679.5698925,1400.537634,2015.591398,2835.483871,3613.44086,61.06630824
Hemigrapsus,10,10,14 C,1.3,Pre,34,281,1591,1373,1955,2831,3694,1214.590747,19.67651245,26.15384615,216.1538462,1223.846154,1056.153846,1503.846154,2177.692308,2841.538462,46.92307692
Hemigrapsus,1,1,24 C,1.32,Pre,48,544,1156,1984,2946,3825,5275,869.6691176,13.69448529,36.36363636,412.1212121,875.7575758,1503.030303,2231.818182,2897.727273,3996.212121,65.99747475
Hemigrapsus,3,3,24 C,1.82,Pre,82,1548,3785,5817,7859,10164,13777,789.9870801,11.79978467,45.05494505,850.5494505,2079.67033,3196.153846,4318.131868,5584.615385,7569.78022,125.4120879
Hemigrapsus,5,5,24 C,2.14,Pre,60,840,2076,3093,4397,5257,7305,769.6428571,11.82738095,28.03738318,392.5233645,970.0934579,1445.327103,2054.672897,2456.542056,3413.551402,56.42523364
Hemigrapsus,7,7,24 C,1.57,Pre,98,928,1805,2990,3879,5480,7102,665.3017241,9.455028735,62.42038217,591.0828025,1149.681529,1904.458599,2470.700637,3490.44586,4523.566879,74.35244161
Hemigrapsus,4,4,14 C,1.06,Post,-25,113,284,1057,1413,2015,2240,1882.300885,31.78834808,-23.58490566,106.6037736,267.9245283,997.1698113,1333.018868,1900.943396,2113.207547,35.61320755
Hemigrapsus,6,6,14 C,1.67,Post,251,436,1428,2567,3843,3721,5447,1149.311927,14.97186545,150.2994012,261.0778443,855.0898204,1537.125749,2301.197605,2228.143713,3261.676647,51.85628743
Hemigrapsus,19,9,14 C,1.86,Post,345,1802,3879,6253,8214,7518,9765,441.8978912,1.614964853,185.483871,968.8172043,2085.483871,3361.827957,4416.129032,4041.935484,5250,84.40860215
Hemigrapsus,10,10,14 C,1.3,Post,281,806,1986,2877,3980,4200,6543,711.7866005,7.179776675,216.1538462,620,1527.692308,2213.076923,3061.538462,3230.769231,5033.076923,80.28205128
Hemigrapsus,1,1,24 C,1.32,Post,-760,-288,1048,1164,1924,2640,2743,1052.430556,30.20717593,-575.7575758,-218.1818182,793.9393939,881.8181818,1457.575758,2000,2078.030303,44.22979798
Hemigrapsus,3,3,24 C,1.82,Post,-476,899,3089,4029,6147,8964,9080,910.0111235,23.10018539,-261.5384615,493.956044,1697.252747,2213.736264,3377.472527,4925.274725,4989.010989,87.50915751
Hemigrapsus,5,5,24 C,2.14,Post,-497,280,1644,2216,3231,4923,5056,1705.714286,36.71190477,-232.2429907,130.8411215,768.2242991,1035.514019,1509.813084,2300.46729,2362.616822,43.24766355
Hemigrapsus,7,7,24 C,1.57,Post,-121,745,3221,4027,5648,6788,7769,942.8187919,17.7303132,-77.07006369,474.522293,2051.592357,2564.968153,3597.452229,4323.566879,4948.407643,83.75796178
Hemigrapsus,8,8,24 C,1.06,Post,-73,710,2498,3172,4255,3957,5729,706.9014085,12.99835681,-68.86792453,669.8113208,2356.603774,2992.45283,4014.150943,3733.018868,5404.716981,91.22641509
